
 customer no 135  and interarrival :3.056 minutes


 customer no 140  and interarrival :0.948 minutes


 customer no 141  and interarrival :2.957 minutes


 customer no 143  and interarrival :0.049 minutes


 customer no 144  and interarrival :0.094 minutes


 customer no 144  and interarrival :0.145 minutes


 customer no 144  and interarrival :1.195 minutes


 customer no 147  and interarrival :1.192 minutes


 customer no 148  and interarrival :0.836 minutes


 customer no 149  and interarrival :0.220 minutes


 customer no 150  and interarrival :0.571 minutes


 customer no 151  and interarrival :0.036 minutes


 customer no 151  and interarrival :0.017 minutes


 customer no 151  and interarrival :0.794 minutes


 customer no 154  and interarrival :1.105 minutes


 customer no 155  and interarrival :0.118 minutes


 customer no 156  and interarrival :0.403 minutes


 customer no 157  and interarrival :0.608 minutes


 customer no 158  and interarrival :0.014 minutes


 customer no 158  and interarrival :0.182 minutes


 customer no 159  and interarrival :0.044 minutes


 customer no 159  and interarrival :0.058 minutes


 customer no 159  and interarrival :1.674 minutes


 customer no 161  and interarrival :1.268 minutes


 customer no 162  and interarrival :0.147 minutes


 customer no 162  and interarrival :0.382 minutes


 customer no 162  and interarrival :0.460 minutes


 customer no 163  and interarrival :0.300 minutes


 customer no 163  and interarrival :0.200 minutes


 customer no 164  and interarrival :0.241 minutes


 customer no 164  and interarrival :0.700 minutes


 customer no 165  and interarrival :1.325 minutes


 customer no 168  and interarrival :1.439 minutes


 customer no 170  and interarrival :0.384 minutes


 customer no 170  and interarrival :0.068 minutes


 customer no 170  and interarrival :0.013 minutes


 customer no 170  and interarrival :0.484 minutes


 customer no 171  and interarrival :1.137 minutes


 customer no 174  and interarrival :0.121 minutes


 customer no 175  and interarrival :0.179 minutes


 customer no 175  and interarrival :0.314 minutes


 customer no 175  and interarrival :0.204 minutes


 customer no 175  and interarrival :1.904 minutes


 customer no 179  and interarrival :0.753 minutes


 customer no 183  and interarrival :1.934 minutes


 customer no 185  and interarrival :1.694 minutes


 customer no 186  and interarrival :0.734 minutes


 customer no 187  and interarrival :1.560 minutes


 customer no 188  and interarrival :0.487 minutes


 customer no 189  and interarrival :2.450 minutes


 customer no 190  and interarrival :0.577 minutes


 customer no 191  and interarrival :0.364 minutes


 customer no 192  and interarrival :0.032 minutes


 customer no 193  and interarrival :1.300 minutes


 customer no 194  and interarrival :1.128 minutes


 customer no 195  and interarrival :1.387 minutes


 customer no 196  and interarrival :0.671 minutes


 customer no 197  and interarrival :0.318 minutes


 customer no 198  and interarrival :1.519 minutes


 customer no 199  and interarrival :0.119 minutes


 customer no 200  and interarrival :1.387 minutes


 customer no 201  and interarrival :0.291 minutes


 customer no 202  and interarrival :1.336 minutes


 customer no 203  and interarrival :0.221 minutes


 customer no 204  and interarrival :0.688 minutes


 customer no 205  and interarrival :1.397 minutes


 customer no 205  and interarrival :1.255 minutes


 customer no 207  and interarrival :0.342 minutes


 customer no 208  and interarrival :0.171 minutes


 customer no 209  and interarrival :0.537 minutes


 customer no 209  and interarrival :0.192 minutes


 customer no 209  and interarrival :1.965 minutes


 customer no 212  and interarrival :0.456 minutes


 customer no 213  and interarrival :0.246 minutes


 customer no 214  and interarrival :0.483 minutes


 customer no 215  and interarrival :1.080 minutes


 customer no 216  and interarrival :1.526 minutes


 customer no 217  and interarrival :1.304 minutes


 customer no 218  and interarrival :1.431 minutes


 customer no 219  and interarrival :0.016 minutes


 customer no 220  and interarrival :2.532 minutes


 customer no 221  and interarrival :0.602 minutes


 customer no 222  and interarrival :0.923 minutes


 customer no 223  and interarrival :0.384 minutes


 customer no 223  and interarrival :1.079 minutes


 customer no 225  and interarrival :1.063 minutes


 customer no 226  and interarrival :0.347 minutes


 customer no 227  and interarrival :0.669 minutes


 customer no 228  and interarrival :0.135 minutes


 customer no 229  and interarrival :1.436 minutes


 customer no 230  and interarrival :2.055 minutes


 customer no 231  and interarrival :0.301 minutes


 customer no 232  and interarrival :0.403 minutes


 customer no 233  and interarrival :0.262 minutes


 customer no 234  and interarrival :0.945 minutes


 customer no 235  and interarrival :1.553 minutes


 customer no 236  and interarrival :1.765 minutes


 customer no 237  and interarrival :0.670 minutes


 customer no 238  and interarrival :1.936 minutes


 customer no 239  and interarrival :1.523 minutes


 customer no 240  and interarrival :0.288 minutes


 customer no 241  and interarrival :0.410 minutes


