
 customer no 140  and interarrival :0.822 minutes


 customer no 141  and interarrival :0.371 minutes


 customer no 142  and interarrival :1.033 minutes


 customer no 143  and interarrival :0.248 minutes


 customer no 144  and interarrival :0.262 minutes


 customer no 145  and interarrival :1.106 minutes


 customer no 146  and interarrival :2.112 minutes


 customer no 147  and interarrival :0.422 minutes


 customer no 148  and interarrival :0.193 minutes


 customer no 148  and interarrival :0.027 minutes


 customer no 149  and interarrival :2.638 minutes


 customer no 151  and interarrival :0.520 minutes


 customer no 152  and interarrival :0.577 minutes


 customer no 153  and interarrival :0.671 minutes


 customer no 154  and interarrival :0.934 minutes


 customer no 155  and interarrival :0.451 minutes


 customer no 156  and interarrival :0.929 minutes


 customer no 156  and interarrival :0.600 minutes


 customer no 158  and interarrival :0.115 minutes


 customer no 159  and interarrival :3.108 minutes


 customer no 160  and interarrival :1.400 minutes


 customer no 161  and interarrival :1.340 minutes


 customer no 162  and interarrival :0.569 minutes


 customer no 163  and interarrival :0.074 minutes


 customer no 164  and interarrival :1.209 minutes


 customer no 164  and interarrival :0.464 minutes


 customer no 165  and interarrival :1.184 minutes


 customer no 166  and interarrival :2.134 minutes


 customer no 168  and interarrival :1.826 minutes


 customer no 169  and interarrival :1.066 minutes


 customer no 170  and interarrival :0.249 minutes


 customer no 171  and interarrival :0.253 minutes


 customer no 172  and interarrival :0.883 minutes


 customer no 172  and interarrival :1.589 minutes


 customer no 174  and interarrival :1.596 minutes


 customer no 175  and interarrival :2.727 minutes


 customer no 176  and interarrival :0.323 minutes


 customer no 177  and interarrival :0.460 minutes


 customer no 178  and interarrival :0.078 minutes


 customer no 178  and interarrival :0.860 minutes


 customer no 179  and interarrival :0.601 minutes


 customer no 180  and interarrival :0.605 minutes


 customer no 180  and interarrival :2.003 minutes


 customer no 182  and interarrival :1.185 minutes


 customer no 184  and interarrival :1.179 minutes


 customer no 185  and interarrival :0.467 minutes


 customer no 186  and interarrival :0.493 minutes


 customer no 186  and interarrival :0.971 minutes


 customer no 186  and interarrival :0.834 minutes


 customer no 189  and interarrival :0.522 minutes


 customer no 189  and interarrival :0.055 minutes


 customer no 189  and interarrival :1.266 minutes


 customer no 192  and interarrival :0.886 minutes


 customer no 193  and interarrival :2.255 minutes


 customer no 194  and interarrival :3.096 minutes


 customer no 195  and interarrival :1.465 minutes


 customer no 196  and interarrival :0.892 minutes


 customer no 197  and interarrival :2.035 minutes


 customer no 198  and interarrival :2.124 minutes


 customer no 199  and interarrival :0.384 minutes


 customer no 200  and interarrival :0.453 minutes


 customer no 201  and interarrival :1.039 minutes


 customer no 202  and interarrival :1.034 minutes


